config,nprocs,solverid,solvername,name,count,maxtime,avg time/solve,maxflops,messages,avgmsglen,reductions,max mflop/s
s1000_g1e2,1536,80361466, -ksp_type bcgs -pc_type asm -pc_asm_overlap 0 ,KSPSolve,3,2.2,7.33E-01,2.17E+09,5.50E+07,8.30E+02,1.80E+04,1430833
s1000_g1e2,1536,80361467, -ksp_type bcgs -pc_type asm -pc_asm_overlap 1 ,KSPSolve,3,5.6,1.87E+00,1.92E+09,9.10E+07,8.40E+02,1.50E+04,501662
s1000_g1e2,1536,81997754, -ksp_type tfqmr -pc_type asm ,KSPSolve,3,3.8,1.27E+00,2.39E+09,1.10E+08,8.40E+02,1.40E+04,911671
s1000_g1e2,1536,80361465, -ksp_type bcgs -pc_type asm -pc_asm_overlap 3 ,KSPSolve,3,2.1,7.00E-01,1.84E+09,1.10E+08,1.20E+03,1.30E+04,1254652
s1000_g1e2,1536,8520536, -ksp_type bcgs -pc_type jacobi ,KSPSolve,3,2.8,9.33E-01,2.71E+09,1.20E+08,8.30E+02,4.00E+04,1421685
s1000_g1e2,1536,53302993, -ksp_type tfqmr -pc_type bjacobi ,KSPSolve,3,3.1,1.03E+00,2.49E+09,6.20E+07,8.30E+02,1.60E+04,1157483
s1000_g1e2,1536,91036839, -ksp_type bcgs -pc_type bjacobi ,KSPSolve,3,2.6,8.67E-01,2.17E+09,5.50E+07,8.30E+02,1.80E+04,1211604
s1000_g1e2,1536,30870723, -ksp_type gmres -pc_type asm -pc_asm_overlap 1 ,KSPSolve,3,6.9,2.30E+00,7.62E+09,2.30E+08,8.40E+02,3.80E+04,1632934
s1000_g1e2,1536,30870722, -ksp_type gmres -pc_type asm -pc_asm_overlap 0 ,KSPSolve,3,6.1,2.03E+00,8.35E+09,1.30E+08,8.30E+02,4.30E+04,2008652
s1000_g1e2,1536,30870721, -ksp_type gmres -pc_type asm -pc_asm_overlap 3 ,KSPSolve,3,6.1,2.03E+00,6.90E+09,2.80E+08,1.20E+03,3.20E+04,1667509
s1000_g1e2,1536,30870720, -ksp_type gmres -pc_type asm -pc_asm_overlap 2 ,KSPSolve,3,9.5,3.17E+00,7.77E+09,3.30E+08,8.50E+02,3.70E+04,1204654
s1000_g1e2,1536,75830645, -ksp_type ibcgs -pc_type asm -pc_asm_overlap 3 ,KSPSolve,3,2.3,7.67E-01,2.19E+09,1.30E+08,1.20E+03,7.30E+03,1359661
s1000_g1e2,1536,75830644, -ksp_type ibcgs -pc_type asm -pc_asm_overlap 2 ,KSPSolve,3,2.4,8.00E-01,1.92E+09,1.20E+08,8.60E+02,6.80E+03,1149932
s1000_g1e2,1536,75830647, -ksp_type ibcgs -pc_type asm -pc_asm_overlap 1 ,KSPSolve,3,2.2,7.33E-01,1.97E+09,8.90E+07,8.40E+02,7.40E+03,1321345
s1000_g1e2,1536,75830646, -ksp_type ibcgs -pc_type asm -pc_asm_overlap 0 ,KSPSolve,3,2.7,9.00E-01,2.78E+09,6.70E+07,8.30E+02,1.10E+04,1492683
s1000_g1e2,1536,45869640, -ksp_type fgmres -pc_type asm -pc_asm_overlap 1 ,KSPSolve,3,6.2,2.07E+00,7.34E+09,2.20E+08,8.40E+02,3.70E+04,1733749
s1000_g1e2,3072,11256942, -ksp_type tfqmr -pc_type asm -pc_asm_overlap 0 ,KSPSolve,3,3.8,1.27E+00,1.67E+09,1.70E+08,5.80E+02,2.10E+04,1275662
s1000_g1e2,3072,11256943, -ksp_type tfqmr -pc_type asm -pc_asm_overlap 3 ,KSPSolve,3,4.1,1.37E+00,1.57E+09,3.60E+08,8.20E+02,1.50E+04,1132540
s1000_g1e2,3072,11256941, -ksp_type tfqmr -pc_type asm -pc_asm_overlap 1 ,KSPSolve,3,2.7,9.00E-01,1.24E+09,2.30E+08,5.90E+02,1.40E+04,1348014
s1000_g1e2,3072,42851841, -ksp_type gmres -pc_type bjacobi ,KSPSolve,3,6.3,2.10E+00,4.44E+09,2.80E+08,5.80E+02,4.60E+04,2080621
s1000_g1e2,3072,11256944, -ksp_type tfqmr -pc_type asm -pc_asm_overlap 2 ,KSPSolve,3,3.5,1.17E+00,1.45E+09,3.70E+08,6.00E+02,1.50E+04,1213581
s1000_g1e2,3072,80361464, -ksp_type bcgs -pc_type asm -pc_asm_overlap 2 ,KSPSolve,3,1.7,5.67E-01,1.04E+09,2.70E+08,6.00E+02,1.50E+04,1764086
s1000_g1e2,3072,45869639, -ksp_type fgmres -pc_type asm -pc_asm_overlap 0 ,KSPSolve,3,4.5,1.50E+00,4.40E+09,2.80E+08,5.80E+02,4.60E+04,2856038
s1000_g1e2,3072,45869638, -ksp_type fgmres -pc_type asm -pc_asm_overlap 3 ,KSPSolve,3,6.7,2.23E+00,3.93E+09,6.20E+08,8.10E+02,3.50E+04,1722167
s1000_g1e2,3072,45869637, -ksp_type fgmres -pc_type asm -pc_asm_overlap 2 ,KSPSolve,3,7.5,2.50E+00,4.13E+09,6.90E+08,6.00E+02,3.90E+04,1619138
s1000_g1e2,3072,36482981, -ksp_type fgmres -pc_type asm ,KSPSolve,3,4.4,1.47E+00,3.87E+09,4.60E+08,5.80E+02,3.80E+04,2598358
